case_id,oracle_split,injection_mode,target_rgroup,forcefield_type,energy_original,energy_failed,energy_delta,energy_delta_percentile,energy_delta_strict_pass,energy_delta_outlier_flag,ligand_valid,ligand_internal_severe_clash_count,target_num_severe_pairs,max_clash_depth,visual_qc_recommended,sample_path,failed_ligand_sdf
case_001969,supported_single_rgroup,torsion_perturb,R2,MMFF,930469012202.6069,930469012105.2493,-97.357666015625,0.7338613861386138,False,abs_delta_ge_p95_or_50,True,0,1,0.4145317077636719,True,samples/case_001969.pkl,ligands/case_001969_failed.sdf
case_002241,supported_single_rgroup,torsion_perturb,R3,MMFF,926880189897.7926,926880189991.3127,93.5201416015625,0.7334653465346535,False,abs_delta_ge_p95_or_50,True,0,1,0.6892638206481934,True,samples/case_002241.pkl,ligands/case_002241_failed.sdf
case_001091,invalid_conformer,directed_clash,R6,MMFF,-512.0549629729375,-418.89655153103627,93.1584114419012,0.7328712871287129,False,abs_delta_ge_p95_or_50,False,1,13,2.333454132080078,True,samples/case_001091.pkl,ligands/case_001091_failed.sdf
case_001083,invalid_conformer,easy_rotation,R6,MMFF,-512.0549629729375,-418.89655153103627,93.1584114419012,0.7328712871287129,False,abs_delta_ge_p95_or_50,False,1,13,2.333454132080078,True,samples/case_001083.pkl,ligands/case_001083_failed.sdf
case_001862,supported_single_rgroup,torsion_perturb,R2,MMFF,928548059444.3755,928548059535.7112,91.335693359375,0.7322772277227723,False,abs_delta_ge_p95_or_50,True,0,3,0.8050192594528198,True,samples/case_001862.pkl,ligands/case_001862_failed.sdf
case_001067,invalid_conformer,easy_rotation,R5,MMFF,-512.0549629729375,-421.079922989486,90.97503998345144,0.7316831683168317,False,abs_delta_ge_p95_or_50,False,3,1,0.7679026126861572,True,samples/case_001067.pkl,ligands/case_001067_failed.sdf
case_001079,invalid_conformer,directed_clash,R5,MMFF,-512.0549629729375,-421.079922989486,90.97503998345144,0.7316831683168317,False,abs_delta_ge_p95_or_50,False,3,1,0.7679026126861572,True,samples/case_001079.pkl,ligands/case_001079_failed.sdf
case_001133,invalid_conformer,directed_clash,R3,MMFF,-334.3458991947853,-245.34201704635524,89.00388214843008,0.7308910891089109,False,abs_delta_ge_p95_or_50,False,3,1,0.6180315017700195,True,samples/case_001133.pkl,ligands/case_001133_failed.sdf
case_001117,invalid_conformer,easy_rotation,R3,MMFF,-334.3458991947853,-245.34201704635524,89.00388214843008,0.7308910891089109,False,abs_delta_ge_p95_or_50,False,3,1,0.6180315017700195,True,samples/case_001117.pkl,ligands/case_001117_failed.sdf
case_000842,invalid_conformer,directed_clash,R3,MMFF,-500.6500468607243,-413.8537121145875,86.79633474613678,0.7302970297029703,False,abs_delta_ge_p95_or_50,False,1,0,0.378986120223999,True,samples/case_000842.pkl,ligands/case_000842_failed.sdf
case_000071,near_miss_contact,directed_clash,R8,MMFF,602.5170627000748,688.7682568544533,86.25119415437848,0.7299009900990099,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_000071.pkl,ligands/case_000071_failed.sdf
case_000830,invalid_conformer,easy_rotation,R3,MMFF,-500.6500468607243,-414.84130412282593,85.80874273789834,0.7295049504950495,False,abs_delta_ge_p95_or_50,False,3,0,0.0,True,samples/case_000830.pkl,ligands/case_000830_failed.sdf
case_001119,invalid_conformer,easy_rotation,R3,MMFF,-334.3458991947853,-249.02192534140084,85.32397385338447,0.7289108910891089,False,abs_delta_ge_p95_or_50,False,1,7,1.0927711725234985,True,samples/case_001119.pkl,ligands/case_001119_failed.sdf
case_001129,invalid_conformer,directed_clash,R3,MMFF,-334.3458991947853,-249.02192534140084,85.32397385338447,0.7289108910891089,False,abs_delta_ge_p95_or_50,False,1,7,1.0927711725234985,True,samples/case_001129.pkl,ligands/case_001129_failed.sdf
case_001968,supported_single_rgroup,torsion_perturb,R2,MMFF,930469012202.6069,930469012118.021,-84.5859375,0.7283168316831683,False,abs_delta_ge_p95_or_50,True,0,1,0.8260256052017212,True,samples/case_001968.pkl,ligands/case_001968_failed.sdf
case_001219,invalid_conformer,directed_clash,R2,MMFF,-514.3188730750378,-429.8941714367913,84.42470163824652,0.7279207920792079,False,abs_delta_ge_p95_or_50,False,1,7,1.5078238248825073,True,samples/case_001219.pkl,ligands/case_001219_failed.sdf
case_002604,invalid_conformer,directed_clash,R2,MMFF,255.5506497923131,339.9595480123037,84.40889821999059,0.7273267326732673,False,abs_delta_ge_p95_or_50,False,2,0,0.0,True,samples/case_002604.pkl,ligands/case_002604_failed.sdf
case_002597,invalid_conformer,easy_rotation,R2,MMFF,255.5506497923131,339.9595480123037,84.40889821999059,0.7273267326732673,False,abs_delta_ge_p95_or_50,False,2,0,0.0,True,samples/case_002597.pkl,ligands/case_002597_failed.sdf
case_001044,invalid_conformer,directed_clash,R3,MMFF,-512.0549629729375,-431.2064509453767,80.84851202756079,0.7267326732673267,False,abs_delta_ge_p95_or_50,False,3,0,0.16507291793823242,True,samples/case_001044.pkl,ligands/case_001044_failed.sdf
case_001594,near_miss_contact,torsion_perturb,R2,MMFF,930414698972.5945,930414698892.892,-79.7025146484375,0.7263366336633663,False,abs_delta_ge_p95_or_50,True,0,0,0.11175870895385742,True,samples/case_001594.pkl,ligands/case_001594_failed.sdf
case_001019,invalid_conformer,directed_clash,R2,MMFF,-512.0549629729375,-432.51766011368113,79.53730285925633,0.7257425742574257,False,abs_delta_ge_p95_or_50,False,2,10,1.7740203142166138,True,samples/case_001019.pkl,ligands/case_001019_failed.sdf
case_001011,invalid_conformer,easy_rotation,R2,MMFF,-512.0549629729375,-432.51766011368113,79.53730285925633,0.7257425742574257,False,abs_delta_ge_p95_or_50,False,2,10,1.7740203142166138,True,samples/case_001011.pkl,ligands/case_001011_failed.sdf
case_001591,supported_single_rgroup,torsion_perturb,R2,MMFF,930414698972.5945,930414698894.3837,-78.2108154296875,0.7251485148514851,False,abs_delta_ge_p95_or_50,True,0,1,0.4553718566894531,True,samples/case_001591.pkl,ligands/case_001591_failed.sdf
case_002564,invalid_conformer,torsion_perturb,R7,MMFF,211.87917003481618,289.57559729992477,77.69642726510858,0.7247524752475247,False,abs_delta_ge_p95_or_50,False,1,13,1.4809880256652832,True,samples/case_002564.pkl,ligands/case_002564_failed.sdf
case_002451,near_miss_contact,easy_rotation,R3,MMFF,471377798198.9425,471377798276.48126,77.53875732421875,0.7241584158415841,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_002451.pkl,ligands/case_002451_failed.sdf
case_002465,duplicate_removed,directed_clash,R3,MMFF,471377798198.9425,471377798276.48126,77.53875732421875,0.7241584158415841,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_002465.pkl,ligands/case_002465_failed.sdf
case_000843,invalid_conformer,directed_clash,R3,MMFF,-500.6500468607243,-423.2360743000356,77.41397256068865,0.7235643564356435,False,abs_delta_ge_p95_or_50,False,2,0,0.05804443359375,True,samples/case_000843.pkl,ligands/case_000843_failed.sdf
case_000877,invalid_conformer,directed_clash,R5,MMFF,-500.6500468607243,-424.9034315823534,75.74661527837088,0.7231683168316831,False,abs_delta_ge_p95_or_50,False,2,5,1.9181718826293945,True,samples/case_000877.pkl,ligands/case_000877_failed.sdf
case_001187,near_miss_contact,directed_clash,R6,MMFF,-334.3458991947853,-259.9023355659741,74.4435636288112,0.7227722772277227,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_001187.pkl,ligands/case_001187_failed.sdf
case_001207,invalid_conformer,easy_rotation,R2,MMFF,-514.3188730750378,-440.45014443677485,73.86872863826295,0.7221782178217822,False,abs_delta_ge_p95_or_50,False,4,1,0.7506705522537231,True,samples/case_001207.pkl,ligands/case_001207_failed.sdf
