candidate_budget_k,case_id,base_sample_id,candidate_count,reliable_candidate_count,sample_reliable_success,anchor_integrity_count,local_reconnect_pass_count,old_clash_resolved_count,no_new_severe_clash_count,top_failure_reason
32,case_000806,complex_crossdocked_000021,32,0,False,11,0,0,0,generated_atom_element_mismatch:old_atom=8:Z=15
32,case_002599,complex_diffsbdd_5ndu,0,0,False,0,0,0,0,returncode_1
32,case_002333,complex_crossdocked_000046,32,0,False,13,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=9
32,case_001906,complex_crossdocked_000038,32,0,False,11,0,1,1,generated_atom_element_mismatch:old_atom=32:Z=9
32,case_000347,complex_crossdocked_000010,32,1,True,2,0,15,15,anchor_integrity
32,case_001730,complex_crossdocked_000035,32,0,False,10,0,1,1,generated_atom_element_mismatch:old_atom=32:Z=9
32,case_000509,complex_crossdocked_000015,32,3,True,10,0,9,10,generated_atom_element_mismatch:old_atom=11:Z=8
32,case_000670,complex_crossdocked_000018,32,0,False,10,0,0,1,generated_atom_element_mismatch:old_atom=32:Z=8
32,case_002131,complex_crossdocked_000043,32,0,False,12,0,1,1,generated_atom_element_mismatch:old_atom=13:Z=7
32,case_002029,complex_crossdocked_000041,32,0,False,17,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
32,case_001527,complex_crossdocked_000031,32,0,False,13,0,0,1,generated_atom_element_mismatch:old_atom=32:Z=9
32,case_001457,complex_crossdocked_000030,32,0,False,17,0,0,0,generated_atom_element_mismatch:old_atom=9:Z=15
32,case_001316,complex_crossdocked_000026,32,2,True,6,0,7,7,generated_atom_element_mismatch:old_atom=22:Z=8
32,case_000707,complex_crossdocked_000019,32,0,False,10,0,0,0,generated_atom_element_mismatch:old_atom=22:Z=6
32,case_002282,complex_crossdocked_000045,32,0,False,13,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=9
32,case_000041,complex_crossdocked_000002,32,3,True,7,0,15,17,anchor_integrity
32,case_002226,complex_crossdocked_000044,32,1,True,11,0,2,2,generated_atom_element_mismatch:old_atom=33:Z=9
32,case_002003,complex_crossdocked_000040,32,0,False,8,0,1,1,generated_atom_element_mismatch:old_atom=30:Z=8
32,case_001300,complex_crossdocked_000026,32,6,True,12,0,15,15,generated_atom_element_mismatch:old_atom=11:Z=8
32,case_001702,complex_crossdocked_000035,32,0,False,10,0,1,1,generated_atom_element_mismatch:old_atom=12:Z=7
32,case_000818,complex_crossdocked_000021,32,0,False,11,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=15
32,case_001961,complex_crossdocked_000039,32,0,False,16,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=9
32,case_001648,complex_crossdocked_000034,32,1,True,14,0,3,3,generated_atom_element_mismatch:old_atom=13:Z=7
32,case_001055,complex_crossdocked_000023,32,0,False,18,0,0,0,generated_atom_element_mismatch:old_atom=22:Z=15
32,case_000552,complex_crossdocked_000016,32,3,True,9,0,12,12,generated_atom_element_mismatch:old_atom=11:Z=8
32,case_001483,complex_crossdocked_000031,32,0,False,15,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
32,case_001536,complex_crossdocked_000032,32,0,False,12,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
32,case_001270,complex_crossdocked_000025,32,1,True,15,0,1,1,generated_atom_element_mismatch:old_atom=27:Z=15
32,case_002056,complex_crossdocked_000041,32,0,False,12,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=9
32,case_000109,complex_crossdocked_000004,32,3,True,7,0,15,15,anchor_integrity
32,case_002134,complex_crossdocked_000043,32,0,False,13,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
32,case_001810,complex_crossdocked_000037,32,0,False,9,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
