case_id,view,contact_sheet_path,status,num_images
case_000834,overlay_surface,runs/phase2_visual_qc/case_000834/images/overlay_surface_contact_sheet.png,written,12
case_000852,clash_pair_vdw,runs/phase2_visual_qc/case_000852/images/clash_pair_vdw_contact_sheet.png,written,12
case_000852,ligand_delta,runs/phase2_visual_qc/case_000852/images/ligand_delta_contact_sheet.png,written,12
case_000852,overlay_sticks,runs/phase2_visual_qc/case_000852/images/overlay_sticks_contact_sheet.png,written,12
case_000852,overlay_surface,runs/phase2_visual_qc/case_000852/images/overlay_surface_contact_sheet.png,written,12
case_000921,clash_pair_vdw,runs/phase2_visual_qc/case_000921/images/clash_pair_vdw_contact_sheet.png,written,12
case_000921,ligand_delta,runs/phase2_visual_qc/case_000921/images/ligand_delta_contact_sheet.png,written,12
case_000921,overlay_sticks,runs/phase2_visual_qc/case_000921/images/overlay_sticks_contact_sheet.png,written,12
case_000921,overlay_surface,runs/phase2_visual_qc/case_000921/images/overlay_surface_contact_sheet.png,written,12
case_000957,clash_pair_vdw,runs/phase2_visual_qc/case_000957/images/clash_pair_vdw_contact_sheet.png,written,12
case_000957,ligand_delta,runs/phase2_visual_qc/case_000957/images/ligand_delta_contact_sheet.png,written,12
case_000957,overlay_sticks,runs/phase2_visual_qc/case_000957/images/overlay_sticks_contact_sheet.png,written,12
case_000957,overlay_surface,runs/phase2_visual_qc/case_000957/images/overlay_surface_contact_sheet.png,written,12
case_000980,clash_pair_vdw,runs/phase2_visual_qc/case_000980/images/clash_pair_vdw_contact_sheet.png,written,12
case_000980,ligand_delta,runs/phase2_visual_qc/case_000980/images/ligand_delta_contact_sheet.png,written,12
case_000980,overlay_sticks,runs/phase2_visual_qc/case_000980/images/overlay_sticks_contact_sheet.png,written,12
case_000980,overlay_surface,runs/phase2_visual_qc/case_000980/images/overlay_surface_contact_sheet.png,written,12
case_000996,clash_pair_vdw,runs/phase2_visual_qc/case_000996/images/clash_pair_vdw_contact_sheet.png,written,12
case_000996,ligand_delta,runs/phase2_visual_qc/case_000996/images/ligand_delta_contact_sheet.png,written,12
case_000996,overlay_sticks,runs/phase2_visual_qc/case_000996/images/overlay_sticks_contact_sheet.png,written,12
case_000996,overlay_surface,runs/phase2_visual_qc/case_000996/images/overlay_surface_contact_sheet.png,written,12
case_001029,clash_pair_vdw,runs/phase2_visual_qc/case_001029/images/clash_pair_vdw_contact_sheet.png,written,12
case_001029,ligand_delta,runs/phase2_visual_qc/case_001029/images/ligand_delta_contact_sheet.png,written,12
case_001029,overlay_sticks,runs/phase2_visual_qc/case_001029/images/overlay_sticks_contact_sheet.png,written,12
case_001029,overlay_surface,runs/phase2_visual_qc/case_001029/images/overlay_surface_contact_sheet.png,written,12
case_001266,clash_pair_vdw,runs/phase2_visual_qc/case_001266/images/clash_pair_vdw_contact_sheet.png,written,12
case_001266,ligand_delta,runs/phase2_visual_qc/case_001266/images/ligand_delta_contact_sheet.png,written,12
case_001266,overlay_sticks,runs/phase2_visual_qc/case_001266/images/overlay_sticks_contact_sheet.png,written,12
case_001266,overlay_surface,runs/phase2_visual_qc/case_001266/images/overlay_surface_contact_sheet.png,written,12
case_002562,clash_pair_vdw,runs/phase2_visual_qc/case_002562/images/clash_pair_vdw_contact_sheet.png,written,12
case_002562,ligand_delta,runs/phase2_visual_qc/case_002562/images/ligand_delta_contact_sheet.png,written,12
case_002562,overlay_sticks,runs/phase2_visual_qc/case_002562/images/overlay_sticks_contact_sheet.png,written,12
case_002562,overlay_surface,runs/phase2_visual_qc/case_002562/images/overlay_surface_contact_sheet.png,written,12
