case_id,view,angle,script_path,image_path,status,returncode,stderr_tail,camera_score,camera_focus,camera_target,camera_target_mode,displacement_axis_angle_degrees,displacement_axis_angle_gate_pass,ligand_occluded_fraction,center_line_blocked,camera_direction,camera_selection_tier,candidate_directions,interest_occluded_fraction,key_occluded_fraction,projection_area_score,interest_area_score,render_action
case_000001,ligand_delta,clear_10,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_10.png,rendered,0,,3.689255,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,33.042522,True,0.0,False,"0.696144,0.717773,0.013586",strict,1024,0.0,0.0,0.614876,0.614876,existing_before_incremental
case_000001,ligand_delta,clear_11,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_11.png,rendered,0,,3.598171,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,83.122967,True,0.0,False,"0.627535,-0.438477,0.643381",strict,1024,0.0,0.0,0.599695,0.599695,existing_before_incremental
case_000001,ligand_delta,clear_12,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_12.png,rendered,0,,3.5832,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,86.097717,True,0.0,False,"-0.198205,0.448242,-0.871661",strict,1024,0.0,0.0,0.5972,0.5972,existing_before_incremental
case_000001,overlay_sticks,clear_01,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_01.png,rendered,0,,9.769989,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,38.988339,True,0.0,False,"-0.130269,0.991211,-0.023043",strict,1024,0.0,0.0,0.997397,0.997397,existing_before_incremental
case_000001,overlay_sticks,clear_02,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_02.png,rendered,0,,9.728506,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,42.184496,True,0.0,False,"0.150730,-0.985352,0.079768",strict,1024,0.0,0.0,0.992112,0.992102,existing_before_incremental
case_000001,overlay_sticks,clear_03,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_03.png,rendered,0,,9.136169,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,72.47545,True,0.0,False,"0.720294,-0.688477,0.084719",strict,1024,0.0,0.0,0.725007,0.725008,existing_before_incremental
case_000001,overlay_sticks,clear_04,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_04.png,rendered,0,,8.916863,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,31.389092,True,0.0,False,"0.492866,0.866211,-0.082230",strict,1024,0.0,0.0,0.703904,0.70389,existing_before_incremental
case_000001,overlay_sticks,clear_05,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_05.png,rendered,0,,8.584132,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,38.730835,True,0.0,False,"0.329637,-0.815430,-0.475829",strict,1024,0.0,0.0,0.810549,0.810533,existing_before_incremental
case_000001,overlay_sticks,clear_06,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_06.png,rendered,0,,8.500436,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,67.933639,True,0.0,False,"-0.096719,0.795898,-0.597655",strict,1024,0.0,0.0,0.816989,0.816973,existing_before_incremental
case_000001,overlay_sticks,clear_07,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_07.png,rendered,0,,8.455798,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,72.148748,True,0.282609,False,"-0.690950,0.709961,-0.136174",strict,1024,0.246154,0.0,0.764111,0.76411,existing_before_incremental
case_000001,overlay_sticks,clear_08,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_08.png,rendered,0,,8.306553,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,33.982718,True,0.043478,False,"-0.226557,0.772461,0.593276",strict,1024,0.030769,0.0,0.823192,0.823176,existing_before_incremental
case_000001,overlay_sticks,clear_09,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_09.png,rendered,0,,8.252214,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,75.06794,True,0.0,False,"0.265941,-0.735352,0.623324",strict,1024,0.0,0.0,0.722697,0.722683,existing_before_incremental
case_000001,overlay_sticks,clear_10,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_10.png,rendered,0,,8.191364,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,39.744827,True,0.0,False,"0.858148,0.461914,0.224092",strict,1024,0.0,0.0,0.427315,0.427314,existing_before_incremental
case_000001,overlay_sticks,clear_11,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_11.png,rendered,0,,8.123295,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,75.158364,True,0.0,False,"0.989013,-0.125977,0.077352",strict,1024,0.0,0.0,0.353748,0.35375,existing_before_incremental
case_000001,overlay_sticks,clear_12,runs/phase2_visual_qc/case_000001/scripts/overlay_sticks_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_sticks_clear_12.png,rendered,0,,8.006559,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,43.668185,True,0.26087,False,"-0.398598,-0.864258,0.306885",strict,1024,0.215385,0.0,0.730319,0.730319,existing_before_incremental
case_000001,overlay_surface,clear_01,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_01.png,rendered,0,,6.678539,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,71.472463,True,0.0,False,"0.662586,-0.729492,0.169768",strict,1024,0.0,0.0,0.79124,0.79124,existing_before_incremental
case_000001,overlay_surface,clear_02,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_02.png,rendered,0,,6.647171,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,31.000817,True,0.0,False,"0.727577,0.676758,0.112389",strict,1024,0.0,0.0,0.614614,0.614614,existing_before_incremental
case_000001,overlay_surface,clear_03,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_03.png,rendered,0,,6.586457,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,39.655162,True,0.0,False,"0.085397,0.979492,-0.182489",strict,1024,0.0,0.0,0.991222,0.991222,existing_before_incremental
case_000001,overlay_surface,clear_04,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_04.png,rendered,0,,6.488257,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,58.123549,True,0.0,False,"0.527955,0.682617,-0.505270",strict,1024,0.0,0.0,0.61581,0.61581,existing_before_incremental
case_000001,overlay_surface,clear_05,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_05.png,rendered,0,,6.475933,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,74.055655,True,0.0,False,"0.920312,-0.208008,0.331300",strict,1024,0.0,0.0,0.431494,0.431494,existing_before_incremental
case_000001,overlay_surface,clear_06,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_06.png,rendered,0,,6.457489,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,86.629009,True,0.0,False,"0.914903,-0.284180,-0.286696",strict,1024,0.0,0.0,0.401473,0.401473,existing_before_incremental
case_000001,overlay_surface,clear_07,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_07.png,rendered,0,,6.43891,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,46.072098,True,0.0,False,"0.449177,-0.790039,-0.417227",strict,1024,0.0,0.0,0.750859,0.750859,existing_before_incremental
case_000001,overlay_surface,clear_08,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_08.png,rendered,0,,6.252308,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,85.568907,True,0.0,False,"0.523493,-0.479492,0.704303",strict,1024,0.0,0.0,0.589463,0.589463,existing_before_incremental
case_000001,overlay_surface,clear_09,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_09.png,rendered,0,,6.133171,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,82.03976,True,0.0,False,"0.629565,-0.012695,-0.776844",strict,1024,0.0,0.0,0.330784,0.330784,existing_before_incremental
case_000001,overlay_surface,clear_10,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_10.png,rendered,0,,6.087033,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,39.961538,True,0.0,False,"0.671620,0.297852,0.678389",strict,1024,0.0,0.0,0.306853,0.306853,existing_before_incremental
case_000001,overlay_surface,clear_11,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_11.png,rendered,0,,6.059999,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,89.281515,True,0.0,False,"0.113803,0.432617,-0.894366",strict,1024,0.0,0.0,0.605723,0.605723,existing_before_incremental
case_000001,overlay_surface,clear_12,runs/phase2_visual_qc/case_000001/scripts/overlay_surface_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/overlay_surface_clear_12.png,rendered,0,,5.79903,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,51.572443,True,0.0,False,"0.127305,-0.303711,-0.944221",strict,1024,0.0,0.0,0.462952,0.462952,existing_before_incremental
case_000002,clash_pair_vdw,clear_01,runs/phase2_visual_qc/case_000002/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000002/images/clash_pair_vdw_clear_01.png,rendered,0,,8.681407,"69.306465,100.280167,8.635267","69.306465,100.280167,8.635267",rgroup_displacement_midpoint,81.727765,True,0.0,False,"0.456492,-0.887695,-0.060098",strict,1024,0.1,0.185185,0.82827,0.845283,existing_before_incremental
case_000002,clash_pair_vdw,clear_02,runs/phase2_visual_qc/case_000002/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000002/images/clash_pair_vdw_clear_02.png,rendered,0,,8.653953,"69.306465,100.280167,8.635267","69.306465,100.280167,8.635267",rgroup_displacement_midpoint,59.348738,True,0.0,False,"0.044183,0.999023,0.000000",strict,1024,0.04,0.074074,0.939045,0.937567,existing_before_incremental
case_000002,clash_pair_vdw,clear_03,runs/phase2_visual_qc/case_000002/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000002/images/clash_pair_vdw_clear_03.png,rendered,0,,8.363192,"69.306465,100.280167,8.635267","69.306465,100.280167,8.635267",rgroup_displacement_midpoint,69.703112,True,0.0,False,"0.420973,-0.749023,-0.511611",strict,1024,0.08,0.148148,0.629674,0.741748,existing_before_incremental
case_000002,clash_pair_vdw,clear_04,runs/phase2_visual_qc/case_000002/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000002/images/clash_pair_vdw_clear_04.png,rendered,0,,8.340466,"69.306465,100.280167,8.635267","69.306465,100.280167,8.635267",rgroup_displacement_midpoint,69.981326,True,0.0,False,"0.229785,0.872070,-0.432079",strict,1024,0.04,0.074074,0.836712,0.913945,existing_before_incremental
case_000002,clash_pair_vdw,clear_05,runs/phase2_visual_qc/case_000002/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000002/images/clash_pair_vdw_clear_05.png,rendered,0,,8.290229,"69.306465,100.280167,8.635267","69.306465,100.280167,8.635267",rgroup_displacement_midpoint,76.917949,True,0.0,False,"0.550077,-0.745117,0.377115",strict,1024,0.12,0.222222,0.782151,0.795295,existing_before_incremental
case_000002,clash_pair_vdw,clear_06,runs/phase2_visual_qc/case_000002/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000002/images/clash_pair_vdw_clear_06.png,rendered,0,,8.247873,"69.306465,100.280167,8.635267","69.306465,100.280167,8.635267",rgroup_displacement_midpoint,34.038868,True,0.0,False,"0.444045,0.875977,0.188386",strict,1024,0.02,0.037037,0.82407,0.904282,existing_before_incremental
case_000002,clash_pair_vdw,clear_07,runs/phase2_visual_qc/case_000002/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000002/images/clash_pair_vdw_clear_07.png,rendered,0,,8.067915,"69.306465,100.280167,8.635267","69.306465,100.280167,8.635267",rgroup_displacement_midpoint,79.264861,True,0.0,False,"0.786148,-0.606445,-0.119146",strict,1024,0.02,0.037037,0.596792,0.654801,existing_before_incremental
